Food Category,Food Item,Portion Size (g),Calories,Protein (g),Carbs (g),Fat (g)
Vegetables,Broccoli,100,34,2.8,6.6,0.4
Vegetables,Spinach,100,23,2.9,3.6,0.4
Vegetables,Carrot,100,41,0.9,9.6,0.2
Vegetables,Bell Pepper,100,31,1,6,0.3
Vegetables,Cauliflower,100,25,1.9,4.9,0.3
Fruits,Apple,100,52,0.3,14,0.2
Fruits,Banana,100,89,1.1,23,0.3
Fruits,Orange,100,47,0.9,12,0.1
Fruits,Strawberries,100,32,0.7,7.7,0.3
Dairy Products,Whole Milk,100,61,3.2,4.8,3.3
Dairy Products,Yogurt,100,59,10,3.6,0.4
Dairy Products,Cheddar Cheese,100,403,25,1.3,33
Grains,Brown Rice,100,111,2.6,23,0.9
Grains,Quinoa,100,120,4.1,21,1.9
Grains,Oats,100,389,16.9,66.3,6.9
Nuts & Seeds,Almonds,100,579,21,22,50
Nuts & Seeds,Walnuts,100,654,15,14,65
Nuts & Seeds,Chia Seeds,100,486,16.5,42.1,30.7
Protein,Chicken Breast,100,165,31,0,3.6
Protein,Salmon,100,208,20,0,13.4
Protein,Tofu,100,76,8,1.9,4.8
Legumes,Lentils,100,116,9,20,0.4
Legumes,Chickpeas,100,164,8.9,27,2.6
Legumes,Black Beans,100,132,8.9,23,0.5
Legumes,Kidney Beans,100,127,8.7,22,0.5
Oils & Fats,Olive Oil,100,884,0,0,100
Oils & Fats,Butter,100,717,0.9,0.1,81.1
Oils & Fats,Coconut Oil,100,862,0,0,100
Beverages,Coffee,100,2,0.1,0.3,0.1
Beverages,Green Tea,100,1,0,0.2,0
Meat,Beef (Lean),100,250,26,0,17
Meat,Pork (Lean),100,242,27,0,14
Meat,Lamb (Lean),100,258,25,0,17
Meat,Chicken Thigh,100,177,18,0,11
Meat,Turkey Breast,100,135,29,0,1
Meat,Duck Breast,100,337,19,0,28
Seafood,Shrimp,100,99,24,0,0.3
Seafood,Cod,100,82,18,0,0.7
Seafood,Tuna,100,130,29,0,1
Seafood,Mackerel,100,305,18,0,25
Seafood,Sardines,100,208,25,0,11
Seafood,Crab,100,83,18,0,1.2
Seafood,Lobster,100,89,18,0,0.9
Seafood,Oysters,100,68,8,4,2
Grains,White Rice,100,130,2.7,28.7,0.3
Grains,Bread (Whole Wheat),100,247,9,49,2
Grains,Pasta (Whole Wheat),100,180,13,36,1.5
Grains,Barley,100,354,12,73,2.3
Grains,Millet,100,378,11,73,4
Grains,Corn,100,86,3.2,19.1,1.3
Grains,Rye,100,338,9.4,75.5,1.6
Grains,Buckwheat,100,343,13.3,71.5,3.4
Grains,Couscous,100,112,3.8,23.2,0.3
Grains,Farro,100,337,14.6,68.2,1.9
Grains,Amaranth,100,371,13.6,66.7,7
Grains,Spelt,100,338,14.6,65.6,2.4
Grains,Sorghum,100,329,10.6,72.1,3.3
Grains,Bulgur,100,83,3.1,18.6,0.2
Grains,Teff,100,367,13.3,73.8,2.4
Legumes,Green Peas,100,81,5.4,14.5,0.4
Legumes,Pinto Beans,100,143,9,26,0.6
Legumes,Navy Beans,100,143,9,26,0.6
Legumes,Lima Beans,100,115,7.8,20.5,0.4
Legumes,Edamame,100,121,11.9,9.9,5
Legumes,Soybeans,100,173,16.6,9.9,9
Legumes,Black-eyed Peas,100,116,7.5,23.2,0.5
Legumes,Chickpea Flour,100,387,22,57,6.7
Nuts & Seeds,Pistachios,100,562,20,28,45
Nuts & Seeds,Pumpkin Seeds,100,559,30,10,49
Nuts & Seeds,Sunflower Seeds,100,584,20.8,20,51.5
Nuts & Seeds,Flaxseeds,100,534,18.3,28.9,42.2
Nuts & Seeds,Sesame Seeds,100,573,17,26.4,49.7
Nuts & Seeds,Hemp Seeds,100,553,31.6,11.2,48.8
Nuts & Seeds,Cashews,100,553,18.2,30.2,43.9
Nuts & Seeds,Macadamia Nuts,100,718,7.9,13.8,75.8
Nuts & Seeds,Brazil Nuts,100,656,14.3,12.3,66.4
Nuts & Seeds,Pine Nuts,100,673,13.7,13.1,68.4
Nuts & Seeds,Almond Butter,100,614,21,22,50
Nuts & Seeds,Peanut Butter,100,588,25.1,19.6,49.2
Oils & Fats,Avocado Oil,100,884,0,0,100
Oils & Fats,Canola Oil,100,884,0,0,100
Oils & Fats,Flaxseed Oil,100,884,0,0,100
Oils & Fats,Ghee,100,900,0,0,100
Oils & Fats,Coconut Milk,100,230,2.3,5.5,23.8
Oils & Fats,Soybean Oil,100,884,0,0,100
Oils & Fats,Walnut Oil,100,884,0,0,100
Oils & Fats,Sesame Oil,100,884,0,0,100
Beverages,Milk (Whole),100,61,3.2,4.8,3.3
Beverages,Milk (Skim),100,35,3.4,4.9,0.2
Beverages,Almond Milk,100,13,0.5,0.6,1
Beverages,Soy Milk,100,33,3.3,1.7,1.8
Beverages,Coconut Water,100,19,0.7,3.7,0.2
Beverages,Orange Juice,100,45,0.7,10.4,0.2
Beverages,Apple Juice,100,46,0.1,11.3,0.1
Beverages,Grapefruit Juice,100,39,0.5,9.2,0.1
Beverages,Cranberry Juice,100,46,0.1,12,0.1
Beverages,Tomato Juice,100,17,0.9,3.5,0.2
Beverages,Coffee (Black),100,2,0.1,0.3,0.1
Vegetables,Asparagus,100,20,2.2,3.9,0.2
Vegetables,Zucchini,100,17,1.2,3.1,0.3
Vegetables,Brussels Sprouts,100,43,3.4,8,0.3
Vegetables,Kale,100,49,4.3,8.8,0.9
Vegetables,Sweet Potato,100,86,1.6,20.1,0.1
Vegetables,Eggplant,100,25,1,6,0.2
Vegetables,Green Beans,100,31,1.8,7,0.2
Vegetables,Cabbage,100,25,1.3,6,0.1
Vegetables,Celery,100,16,0.7,3,0.2
Vegetables,Radish,100,16,0.7,3.4,0.1
Fruits,Mango,100,60,0.8,15,0.4
Fruits,Pineapple,100,50,0.5,13.1,0.1
Fruits,Watermelon,100,30,0.6,7.6,0.2
Fruits,Blueberries,100,57,0.7,14.5,0.3
Fruits,Raspberries,100,52,1.5,11.9,0.7
Vegetables,Cucumber,100,15,0.7,3.6,0.2
Vegetables,Bell Peppers,100,31,1,6,0.3
Vegetables,Tomatoes,100,18,0.9,3.9,0.2
Vegetables,Artichoke,100,47,3.3,10.5,0.2
Vegetables,Beetroot,100,43,1.6,9.6,0.2
Vegetables,Bok Choy,100,13,1.5,2.2,0.2
Vegetables,Leeks,100,61,1.5,14.1,0.3
Fruits,Kiwi,100,61,1.1,14.7,0.5
